2025-07-14 10:16:03.100 [restartedMain] INFO  c.payroll.texas.PayrollApplication - Starting PayrollApplication using Java 17.0.12 with PID 16288 (C:\Users\HP\OneDrive\Desktop\texaspayrollgvkss\gvkss-payrollbackend\payroll\target\classes started by HP in C:\Users\HP\OneDrive\Desktop\texaspayrollgvkss\gvkss-payrollbackend\payroll)
2025-07-14 10:16:03.106 [restartedMain] INFO  c.payroll.texas.PayrollApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-14 10:16:03.166 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-07-14 10:16:03.166 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-07-14 10:16:05.240 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-14 10:16:05.345 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2178 ms
2025-07-14 10:16:06.053 [restartedMain] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/texas_payroll (PostgreSQL 17.5)
2025-07-14 10:16:06.208 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 8
2025-07-14 10:16:06.213 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
2025-07-14 10:16:07.119 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-07-14 10:16:10.044 [restartedMain] INFO  c.p.t.controller.EmployeeController - EmployeeController is being instantiated!
2025-07-14 10:16:10.177 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-14 10:16:10.626 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-07-14 10:16:10.667 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-14 10:16:10.677 [restartedMain] INFO  c.payroll.texas.PayrollApplication - Started PayrollApplication in 8.295 seconds (process running for 9.17)
2025-07-14 10:18:28.734 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-07-14 10:18:28.744 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2025-07-14 10:18:28.991 [http-nio-8080-exec-2] INFO  c.payroll.texas.service.AuthService - Login attempt for email: venkat@gmail.com
2025-07-14 10:18:29.205 [http-nio-8080-exec-2] WARN  c.payroll.texas.service.AuthService - Login failed - user not found for email: venkat@gmail.com
2025-07-14 10:18:45.050 [http-nio-8080-exec-3] INFO  c.payroll.texas.service.AuthService - Login attempt for email: venkat@gmail.com
2025-07-14 10:18:45.054 [http-nio-8080-exec-3] WARN  c.payroll.texas.service.AuthService - Login failed - user not found for email: venkat@gmail.com
2025-07-14 10:18:45.939 [http-nio-8080-exec-4] INFO  c.payroll.texas.service.AuthService - Login attempt for email: venkat@gmail.com
2025-07-14 10:18:45.944 [http-nio-8080-exec-4] WARN  c.payroll.texas.service.AuthService - Login failed - user not found for email: venkat@gmail.com
2025-07-14 10:18:50.823 [http-nio-8080-exec-5] INFO  c.payroll.texas.service.AuthService - Login attempt for email: venkat@gvkss.com
2025-07-14 10:18:51.828 [http-nio-8080-exec-5] INFO  c.payroll.texas.service.AuthService - Login successful for user: venkat@gvkss.com (ID: 2)
2025-07-14 10:18:52.082 [http-nio-8080-exec-7] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingRequestHeaderException: Required request header 'Authorization' for method parameter type String is not present]
2025-07-14 10:18:55.544 [http-nio-8080-exec-7] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:18:55.551 [http-nio-8080-exec-7] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 2
2025-07-14 10:18:55.554 [http-nio-8080-exec-7] INFO  c.p.texas.service.EmployeeService - Found company Gvkss for user 2
2025-07-14 10:18:55.554 [http-nio-8080-exec-7] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 2 and status: ACTIVE
2025-07-14 10:18:55.573 [http-nio-8080-exec-7] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 4 employees for company 2 and status ACTIVE
2025-07-14 10:18:55.585 [http-nio-8080-exec-2] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:18:55.591 [http-nio-8080-exec-2] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 2
2025-07-14 10:18:55.591 [http-nio-8080-exec-2] INFO  c.p.texas.service.EmployeeService - Found company Gvkss for user 2
2025-07-14 10:18:55.592 [http-nio-8080-exec-2] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 2 and status: ACTIVE
2025-07-14 10:18:55.604 [http-nio-8080-exec-2] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 4 employees for company 2 and status ACTIVE
2025-07-14 10:18:58.351 [http-nio-8080-exec-8] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:18:58.361 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 2
2025-07-14 10:18:58.363 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Found company Gvkss for user 2
2025-07-14 10:18:58.363 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 2 and status: INACTIVE
2025-07-14 10:18:58.382 [http-nio-8080-exec-8] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 0 employees for company 2 and status INACTIVE
2025-07-14 10:18:59.282 [http-nio-8080-exec-10] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:18:59.292 [http-nio-8080-exec-10] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 2
2025-07-14 10:18:59.293 [http-nio-8080-exec-10] INFO  c.p.texas.service.EmployeeService - Found company Gvkss for user 2
2025-07-14 10:18:59.293 [http-nio-8080-exec-10] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 2 and status: TERMINATED
2025-07-14 10:18:59.298 [http-nio-8080-exec-10] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 0 employees for company 2 and status TERMINATED
